account,amount
22Evucy2xZ1kqQPxvSgHox7SEFbz8ozL9ukFiHGQmRjqWf9G,17387.007
22RvhHBKh9oJNjW96gToakCV961hHmuU7FFpuExuvy7D5eE2,16293.652
21Zq1CkZH6ZgnPDqs1vmhKkSr3UZfFJ5obENNsq4FPQuekzL,15917.785
22JN4pgXfUYavBPtc8DAp6Eh47w2bGxtRhYqNdzbpZkXbVqa,15512.119
26GwQNK2bP2L22wmVWn3qtV8QGqwncTQ7UsjKbWVuXQ9KfTU,15034.739
23ZWyBFfax5X9azMe23V12pcTVx7EN45r8xK3MkDpccsgYDT,13334.22
21qmc3rRScZyH5JyiUntmM5GaRfef3rgQQPFUNY9R6seCeNC,13330.491
25zF5J27yAuDBNmSD3BsnokvfUsj4jPPZtHhjJbqoP4bcm1x,13291.707
25b7KcQUAL4UKqTb7sF5FDXuDZcwKdqbYLEG5BT8P32tgm2z,13148.492
21aDkNqZ9FbWr11TxwAmTwAw68bMpiBibaah58Tfz1BzkdHi,13103.629
23EuMWPLdmyUv5M2L32Cni7TZF5DQgKcjyR44YqmiWNYkTFo,12571.712
23HV5FHHVtNANnXSGLtEFyDVoaLacAWEYQFz3Eyz1dDskmWR,11656.149
24NfJ4UEiLKzjTm1wSCfT6FayEnPU1PEDbQ3g6hQ5PKNhsjA,11462.384
21qy1hqDnXPoJSrkkDoNokRLv9DZTVCynkSvAgTaErh31YFw,10779.32
24du1mNezUSi2heYoJzmhMExbD1xAauP3NdMoZN7oVD2P3HX,10597.967
24dXVGe3EWtFrm9L1ocZDkKSpaQNFLNspjVxNXXQyRNPNT3w,10108.287
26SPPh1YLqytf8n4mav5XYCBVyJqCG5K7qBQDsZgmvxZQqss,10100
21kXDd8BEUZFL3KXz8nngoJg1iKudPSZWWH9Z3ctYprV4Ga5,10000
24xiAnqwQSrMZNVmCvUs4pJiWY2gAEwKEmoNzxcTTwHqrPMZ,9900.823
215MSBbGp46ajSJj5PfJ7KtCYYnTxU3Eh4AGyqeoPE7YJAZg,9809.206
25gVEhmuESXdQcVDNfxGcfyckHj7m2DepxCufMccRXSv743B,9657.682
23W3M6CAjPv9B9jeM2QegW42Vu4Zv2a9kq8tqmdfQXfgZyeb,9515.729
22zrLorFPztbMhMwy956v6SJUj8TKkpjLBvtd3rE1G1KJ9zv,9373.551
21L82ErDqiroU6SLx8ymeS5zaZxykH8bA5cQnhvWSL46a2GQ,9335.252
256fHBPwHt5ocpXT8Qob9cPGdjC1ZZQPNDDqtMNocsnsU9Kf,9335
22uZp2mo9gBDSznGx5D7NBS14tJ3zRPztpE4ei2Pi8Ap6w8D,9200
21v7pc3K1XL6pG31wdUnU25unVUmtgRVvUGw3m4qAUSzqpQG,9115.656
235VD7W6WQgZd6foWuuiVyQ2ow61uT9zAFm6UCrXLKzQ3VPU,9041.826
25ridxzcLLruJP4tU8d5aWFthxv9FYu1CWFN8qeDdwPYVvw2,9029.279
24RD5rRVLMz781mFoQEnmey9t3fBn8qqrEwaYSfZdEioGg2S,8459.78
25p6qmpcoEi784Py89X98s1qSxLXoTQ4uqkvanttpCEz84ha,8420.975
23jtZBoVDmeWHs2XD2JQw9XLri8nPP878AkeVbvvkLB9u865,8040.988
21wnQgeWkjyoCDeBPn41QTeBmSm8ddnd9EsGdgi6YonWsmJv,7613.372
26YvA4eQkGf6NtTYDQ53VhpGgPq1wY2yp9iXP3PY8yTeY4nC,7600
22T81YVAstzeL1zx5AZD37dU97ejm5o3fvNcNuU2sNhG5qps,7000
21xoX9KBVphRetqFx2ACTrhhENSCNRBwdSkhckSMcnPnfMWJ,6983.638
25jCRNUhMvjH4iUuV1Mt19XiQ8f2udiaFiTGrikyrhN6WJEr,6981.755
22NYU4mpwbh5xReRkNTztkc2Xc8Bvwjk1TzYxKEnMefLQ4qP,6816.901
zz5nBupgn7mtTfLBFyr4wzW357bHczhS9WXiazjf7dwWDi9,6571.324
21yodFcT21redDvibBmRzurhk5XVbdPCAyovgokYFJ5VHg6B,6301.645
25jDg2LrAAAuoEUK2mCDBCsNQTirWCpsKEpZMDfkcR8V7n1a,6046.995
21yZr91sn8GkaKCRPfDkQxowfqzucnyC4eKk8Hoy2LMMBLSZ,6037.954
21xcNVGQ2qqKvPDyJpxBMKmBo4nbYD4uqc56M1ApMteVYqPZ,6024.102
22ztx4RszYjEAkavuVEEWsF2q5Qj8QMQM95qG1vhkwCP2cBL,5981.385
23b44XrzA9K4GevwQxyV2gSC1wnKrKvxGkKGZFRoCiNim9rn,5950.793
26Xf4gzChCJSgyALv1VbbuGVbXugE8vMnig21c1G6MJWrgPx,5788.187
214TnS2KNMpF4AadwBWQJHu6EoFhYtk1HfttcBKgCSxmAVL3,5683.1
236h1SUqXjZJt694hkdVYVkMEsczzwwUJq4JnUdXPrdk1bUq,5611.568
212kyuQJrMGsDU71wxqQS5yvWSRwZp1N25hNrKXEfoyLQfx6,5592.059
23xYohWzet7RuHmu2Gq1UMTTdfJ5E7H3EVyhcLnwPHFp3vsq,5567.522
21nKPdbTUZXpHxR9cn37uXvkYA6zeTvxCqk6Hm8SVfpJPonC,5497.865
21FMpquk3NjLB8wXEJ2PmAMjtDGNrR6VwGn7kUsmzo5tAsgn,5400.387
24GKSMLkaaLSabVFrvMnRU4dmiPbsJkfB5Bz4Vo6ANxG8Fo8,5338.124
25rJZm2ZB32ND4RtobdmCoPsVjoXzamjbm9xkX2k7Qy31pff,5212.155
26QPRJ4HyWdgewVL9D75jHPDvXLuapEQ2sGd9q7msfDF4H1e,5154.102
24MUpK1uVBgn8kKVh6dBZjJYXa8RYmNyrh8pEzKjKQdCJXRt,5000
25r4oZedLXEunTmdvytyH4xcmQqqWWw8KmphdiD5LqpU29pv,5000
234cbn15eApoEy7JMY4KAaRm9odqDpWdxQXYWca2gjd5aHWu,4999.997
25Vk1SYsZYnQr1mDBcHHfYYkYi1ST8CD54bRLKCD4Chrt6qi,4998.036
211jQADK94fjAkAC8r4ebLqXDbuLSSwfGkcrZi19wz6BwD3B,4927.474
26GQtPxeB8MULyWrXJ2kuRHwm2gDzBtZH4Lh8tWYUNMsFYh4,4762.169
233utSemD752Faf3KPfEkDXk5XkMAo3A2BPnMcAADX5sYjAU,4496.473
25YfobpCGvxbJAbrcf2ELj2ZNrsXs9NRYa1CoX4hz7pqBoPE,4403.231
21Lshi46cUFdLMPiYsHubPuBwQTznqTAtrvQoCv9KwFM8EZT,4380.306
25WdVp2TSg7rruEa1UHwHtphMmpAJNm6oDXjEf5kfKhERirw,4365.387
23H3yHAPdSsFdqi6zpbTCaYKUX5uwGvXeQcec6fnGfkcpAeL,4350.758
